text,label
Government announces new education policy,REAL
Scientists discover water on Mars,REAL
Aliens abducted the prime minister last night,FAKE
Man claims eating chocolate cures all diseases,FAKE
Stock market reaches record high today,REAL
"World will end tomorrow, experts say",FAKE
Health ministry launches national vaccination drive,REAL
Secret potion guarantees instant millionaire status,FAKE
Local team wins the regional football championship,REAL
Time traveler warns of robot invasion next week,FAKE
